ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,genre
2024-02-16T19:29:03Z,windows,1190,TR,188.119.44.79,Future World,Helloween,"Keeper of the Seven Keys, Pt. 1 & 2 - Deluxe Edition",spotify:track:3dT3OPMkRei9JQN66sWnPT,,,,clickrow,endplay,False,True,False,1708111742,False,"german metal, german power metal, hard rock, metal, old school thrash, power metal, speed metal, symphonic metal, thrash metal"
2024-02-16T19:29:05Z,windows,1720,TR,188.119.44.79,Sabbath Bloody Sabbath (2009 - Remaster),Black Sabbath,Sabbath Bloody Sabbath,spotify:track:29KYPEsbcMcVKnd6iyu6Q5,,,,clickrow,endplay,False,True,False,1708111743,False,"album rock, alternative metal, birmingham metal, classic rock, hard rock, metal, rock, stoner rock, uk doom metal"
2024-02-16T19:33:07Z,windows,242800,TR,188.119.44.79,Future World,Helloween,"Keeper of the Seven Keys, Pt. 1 & 2 - Deluxe Edition",spotify:track:3dT3OPMkRei9JQN66sWnPT,,,,clickrow,trackdone,False,False,False,1708111745,False,"german metal, german power metal, hard rock, metal, old school thrash, power metal, speed metal, symphonic metal, thrash metal"
2024-02-16T19:36:37Z,windows,209906,TR,188.119.44.79,The Game (Triple H),WWE,"WWE: The Music, Vol. 5",spotify:track:2zSpaFB7e0Yo1QKsDQ22Ol,,,,trackdone,trackdone,False,False,False,1708111987,False,wrestling
2024-02-16T19:39:26Z,windows,168320,TR,188.119.44.79,Ace of Spades,Motörhead,Ace of Spades,spotify:track:3CIOopLwvyMvXk97ZEksKO,,,,trackdone,trackdone,False,False,False,1708112198,False,"alternative metal, hard rock, metal, nu metal, rock, speed metal"
2024-02-16T20:33:59Z,windows,344600,TR,188.119.44.79,Sabbath Bloody Sabbath (2009 - Remaster),Black Sabbath,Sabbath Bloody Sabbath,spotify:track:29KYPEsbcMcVKnd6iyu6Q5,,,,trackdone,trackdone,False,False,False,1708112366,False,"album rock, alternative metal, birmingham metal, classic rock, hard rock, metal, rock, stoner rock, uk doom metal"
2024-02-16T20:38:39Z,windows,280346,TR,188.119.44.79,Skeletons Of Society,Slayer,Seasons In The Abyss,spotify:track:2LTazmGAG6srTflsDKMPsk,,,,trackdone,trackdone,False,False,False,1708115639,False,"alternative metal, death metal, groove metal, hard rock, metal, old school thrash, rock, speed metal, thrash metal"
2024-02-16T20:42:43Z,windows,243385,TR,188.119.44.79,Rivalry,Airbourne,Breakin' Outta Hell,spotify:track:1roMHP8V9VGzpz3KfZMSZX,,,,trackdone,trackdone,False,False,False,1708115920,False,hard rock
2024-02-16T20:46:32Z,windows,227746,TR,188.119.44.79,Rock 'n' Roll,Motörhead,Rock N' Roll,spotify:track:738MwM1wbo84IO5DaQma1e,,,,trackdone,trackdone,False,False,False,1708116164,False,"alternative metal, hard rock, metal, nu metal, rock, speed metal"
2024-02-16T20:49:58Z,windows,205506,TR,188.119.44.79,Back In the Game,Airbourne,Black Dog Barking,spotify:track:2XjeZEdPK7Qo66Z7ONp854,,,,trackdone,trackdone,False,False,False,1708116392,False,hard rock
2024-02-16T20:51:11Z,windows,72493,TR,188.119.44.79,For the Glory of...,Testament,The Formation of Damnation,spotify:track:6J4VOoKhRZFNeWkVH0WTzH,,,,trackdone,trackdone,False,False,False,1708116598,False,"alternative metal, groove metal, hard rock, metal, old school thrash, thrash metal"
2024-02-16T20:54:31Z,windows,199866,TR,188.119.44.79,Repentless,Slayer,Repentless,spotify:track:6W2KBpMMXW17r7dPyqi8Iu,,,,trackdone,trackdone,False,False,False,1708116671,False,"alternative metal, death metal, groove metal, hard rock, metal, old school thrash, rock, speed metal, thrash metal"
2024-02-16T20:55:22Z,windows,37168,TR,188.119.44.79,March of the Crabs,Anvil,Metal On Metal,spotify:track:6uuYXq7Hs8V4QSrZMDNJnu,,,,trackdone,logout,False,False,False,1708116872,False,"canadian metal, glam metal, hard rock, metal, speed metal, thrash metal"
2024-02-16T21:22:15Z,ios,183360,TR,5.24.253.146,Warriors of the World United,Manowar,Warriors of the World,spotify:track:02zclmxRto3GAUBdtV7D8i,,,,appload,unexpected-exit-while-paused,False,False,False,1708118338,False,"comic metal, hard rock, metal, power metal, speed metal, us power metal"
2024-02-17T12:59:05Z,ios,350760,TR,5.24.253.146,Gods Of War Arise,Amon Amarth,With Oden On Our Side,spotify:track:7kVDBjbK8I73acCoaAbMi5,,,,clickrow,endplay,False,True,False,1708174395,False,"groove metal, melodic death metal, metal, power metal, speed metal, swedish death metal, swedish melodeath, swedish metal, tolkien metal, viking metal"
